farm_id,animal_id,sold,sex,registration_number,sire_registration
KAF,A258,NO,F,NA,14088421
KAF,A262,NO,F,NA,13395344
KAF,A263,NO,F,NA,16631326
KAF,A269,NO,F,NA,16631326
KAF,A272,NO,F,NA,14088421
KAF,A273,NO,F,NA,13395344
KAF,A274,YES,F,NA,16631326
KAF,A278,NO,F,NA,13395344
KAF,A295,NO,F,NA,16631326
KAF,A300,NO,F,NA,16631326
KAF,A301,NO,F,NA,15354674
KAF,A302,NO,F,NA,LMR634S
KAF,A304,NO,F,NA,15354674
KAF,A307,NO,F,NA,15354674
KAF,A308,NO,F,NA,15354674
KAF,A316,NO,F,NA,LMR634S
KAF,A347,NO,F,NA,16428095
KAF,A353,NO,F,NA,14106303
KAF,A380,NO,F,NA,14106303
KAF,A387,NO,F,NA,16428095
KAF,A408,NO,F,NA,14106303
KAF,B210,NO,F,NA,16631326
KAF,B212,NO,F,NA,17236055
KAF,B216,NO,F,NA,14106303
KAF,B220,NO,F,NA,16428095
KAF,B221,NO,F,NA,16428095
KAF,B224,NO,F,NA,15347916
KAF,B226,NO,F,NA,16428095
KAF,B228,NO,F,NA,14106303
KAF,B229,NO,F,NA,14088421
KAF,B233,NO,F,NA,17236055
KAF,B240,YES,F,NA,17236055
KAF,B242,NO,F,NA,16428095
KAF,B260,NO,F,NA,16428095
KAF,B265,NO,F,NA,16428095
KAF,B278,NO,F,NA,17496785
KAF,B279,NO,F,NA,17362904
KAF,B284,YES,F,NA,14106303
KAF,B285,NO,F,NA,16428095
KAF,B289,NO,F,NA,16428095
KAF,B292,NO,F,NA,16675214
KAF,B302,NO,F,NA,16428095
KAF,B322,NO,F,NA,16428095
KAF,B354,NO,F,NA,16428095
KAF,B6,YES,F,NA,17018848
KAF,C105,NO,F,NA,13395344
KAF,C109,NO,F,624186924,13395344
KAF,C115,NO,F,624186926,16381311
KAF,C118,YES,F,624186927,13395344
KAF,C119,NO,F,624186928,LMR634S
KAF,C121,NO,F,624186929,16381311
KAF,C126,NO,F,624186930,LMR634S
KAF,C134,NO,F,624186931,16904477
KAF,C137,NO,F,624186932,16904477
KAF,C142,NO,F,624186933,17496785
KAF,C154,NO,F,624186935,17496785
KAF,C176,NO,F,624186937,17496785
KAF,C191,YES,F,624186938,18065681
KAF,C29,NO,F,62418640,13395344
KAF,C33,NO,F,62418642,13395344
KAF,C38,NO,F,62418644,13395344
KAF,C52,NO,F,62418646,16381311
KAF,C53,NO,F,62418647,13395344
KAF,C54,NO,F,62418648,13395344
KAF,C58,NO,F,62418650,13395344
KAF,C62,NO,F,62418651,13395344
KAF,C74,NO,F,62418653,16381311
KAF,C87,NO,F,62418655,13395344
KAF,D123,NO,F,NA,NA
KAF,D130,NO,F,NA,NA
KAF,D135,NO,F,NA,NA
KAF,D136,NO,F,NA,NA
KAF,D141,NO,F,NA,NA
KAF,D157,NO,F,NA,NA
KAF,D17,NO,F,NA,NA
KAF,D19,NO,F,NA,NA
KAF,D25,NO,F,NA,NA
KAF,D31,NO,F,NA,NA
KAF,D38,NO,F,NA,NA
KAF,D41,NO,F,NA,NA
KAF,D46,NO,F,NA,NA
KAF,D49,NO,F,NA,NA
KAF,D60,NO,F,NA,NA
KAF,D66,NO,F,NA,NA
KAF,D73,NO,F,NA,NA
KAF,D75,NO,F,NA,NA
KAF,D78,NO,F,NA,NA
KAF,D79,NO,F,NA,NA
KAF,D84,NO,F,NA,NA
KAF,D98,NO,F,NA,NA
KAF,L536,YES,F,910061055,12972392
KAF,M440,YES,F,910111065,12856036
KAF,N300,NO,F,910120281,13504290
KAF,N528,NO,F,910120290,13968873
KAF,P337,YES,F,910134349,13718631
KAF,R270,NO,F,910140186,14106303
KAF,R272,NO,F,910140185,14106303
KAF,R279,YES,F,910140182,12241684
KAF,R321,NO,F,910140178,12241684
KAF,R342,NO,F,910140175,12241684
KAF,R397,YES,F,910140171,14106303
KAF,S276,NO,F,619853615,14106303
KAF,S299,NO,F,619853620,14106303
KAF,S301,NO,F,620627766,14106303
KAF,S332,NO,F,619853791,14106303
KAF,S336,YES,F,619853768,14106303
KAF,S471,NO,F,619853587,14615758
KAF,S7,YES,F,619449016,14177701
KAF,S700,NO,F,619853820,14106303
KAF,S723,NO,F,619853577,13466708
KAF,T280,NO,F,NA,14106303
KAF,T299,NO,F,620086392,14106303
KAF,T347,YES,F,620086412,14106303
KAF,T396,NO,F,620086470,14106303
KAF,T503,YES,F,620086499,14106303
KAF,T515,NO,F,620086374,14106303
KAF,T520,YES,F,620086512,14106303
KAF,T542,NO,F,620086580,14946072
KAF,U2,NO,F,621703477,13504290
KAF,U280,NO,F,620627768,15330743
KAF,U323,NO,F,NA,14106303
KAF,U453,NO,F,620627937,14106303
KAF,W1,NO,F,620856437,14851313
KAF,W190,NO,F,621491381,15404020
KAF,W281,NO,F,621263823,14088421
KAF,W291,YES,F,621263832,12241684
KAF,W295,NO,F,622353360,NA
KAF,W307,NO,F,621263845,14106303
KAF,W308,NO,F,621263846,14106303
KAF,W311,NO,F,621263849,14106303
KAF,W343,YES,F,621263875,14106303
KAF,W362,YES,F,621263893,15748250
KAF,W378,YES,F,621263906,14106303
KAF,W568,YES,F,621264087,14106303
KAF,X303,NO,F,621497288,14106303
KAF,X332,YES,F,621491317,14851313
KAF,X359,NO,F,621491334,14106303
KAF,X371,NO,F,621491356,15915113
KAF,X407,NO,F,621491393,LMR634S
KAF,X418,NO,F,6214911404,16087932
KAF,X563,YES,F,621491525,14106303
KAF,Y283,NO,F,621728031,12241684
KAF,Y290,YES,F,621728015,16214558
KAF,Y303,NO,F,621728014,16214558
KAF,Y323,NO,F,621727983,15915113
KAF,Y328,YES,F,621728078,13544928
KAF,Y374,NO,F,621728026,15266522
KAF,Y375,NO,F,621728012,16428095
KAF,Y438,NO,F,621818421,14106303
KAF,Y444,NO,F,621728025,15266522
KAF,Y492,NO,F,621818457,13544928
KAF,Y498,NO,F,621818985,14106303
KAF,Y538,YES,F,621819029,14106303
KAF,Y540,NO,F,621819031,16631326
KAF,Z281,NO,F,NA,16631326
KAF,Z290,NO,F,NA,16631326
KAF,Z294,NO,F,NA,16631326
KAF,Z296,NO,F,NA,16631326
KAF,Z298,NO,F,NA,14106303
KAF,Z321,NO,F,NA,16631326
KAF,Z336,NO,F,NA,16631326
KAF,Z338,NO,F,NA,16631326
KAF,Z356,NO,F,NA,16631326
KAF,Z369,NO,F,NA,13544928
KAF,Z375,NO,F,NA,16631326
KAF,Z391,NO,F,NA,15266522
KAF,Z400,NO,F,NA,16631326
KAF,Z402,NO,F,NA,15266522
